texto;toxico;num_admir;num_may;num_may_esc;emojis;num_emoji;num_insultos;dir_23ps;score_emoji_tox;emphasize;series_token2;series_token;filtered_words
iluminado_33 si pusieras la cara estarias muerto hijo de puta;1.0;0;1;0.1;;0;1;1;0.0;1.1;iluminado_33 si pusieras la cara estarias muerto hijo de puta;['iluminado_33', 'si', 'pusieras', 'la', 'cara', 'estarias', 'muerto', 'hijo', 'de', 'puta'];['iluminado_33', 'pusieras', 'cara', 'estarias', 'muerto', 'hijo', 'puta']
mierdaseca de sonrisa traidora, catanazis 😠 .;1.0;0;0;0.0;😠;1;1;1;-0.299;1.0;mierdaseca de sonrisa traidora, catanazis 😠 .;['mierdaseca', 'de', 'sonrisa', 'traidora', ',', 'catanazis', '😠', '.'];['mierdaseca', 'sonrisa', 'traidora,', 'catanazis', '😠', '.']
que segunda opcion mierdaseca si no tengo amigos;1.0;0;0;0.0;;0;1;0;0.0;0.0;que segunda opcion mierdaseca si no tengo amigos;['que', 'segunda', 'opcion', 'mierdaseca', 'si', 'no', 'tengo', 'amigos'];['segunda', 'opcion', 'mierdaseca', 'no', 'amigos']
a ver si le dan entre todos por culo al mierdaseca del coleta;1.0;0;0;0.0;;0;1;0;0.0;0.0;a ver si le dan entre todos por culo al mierdaseca del coleta;['a', 'ver', 'si', 'le', 'dan', 'entre', 'todos', 'por', 'culo', 'al', 'mierdaseca', 'del', 'coleta'];['ver', 'dan', 'culo', 'mierdaseca', 'coleta']
asi que ese era el mierdaseca que hizo que anakin se cambiase de bando.;1.0;0;0;0.0;;0;1;1;0.0;1.0;asi que ese era el mierdaseca que hizo que anakin se cambiase de bando.;['asi', 'que', 'ese', 'era', 'el', 'mierdaseca', 'que', 'hizo', 'que', 'anakin', 'se', 'cambiase', 'de', 'bando', '.'];['asi', 'mierdaseca', 'hizo', 'anakin', 'cambiase', 'bando.']
mierdaseca;1.0;0;0;0.0;;0;1;0;0.0;0.0;mierdaseca;['mierdaseca'];['mierdaseca']
17 pero con un ferrari hijo de puta, no con un honda mierdaseca;1.0;0;0;0.0;;0;1;0;0.0;0.0;17 pero con un ferrari hijo de puta, no con un honda mierdaseca;['17', 'pero', 'con', 'un', 'ferrari', 'hijo', 'de', 'puta', ',', 'no', 'con', 'un', 'honda', 'mierdaseca'];['17', 'ferrari', 'hijo', 'puta,', 'no', 'honda', 'mierdaseca']
ademas estan avisando que van a poner una version similar a la venta en la tienda de cd project, que no se gasten la fortuna que piden esos mierdaseca;1.0;0;1;0.034482758620689655;;0;1;1;0.0;1.0344827586206897;ademas estan avisando que van a poner una version similar a la venta en la tienda de cd project, que no se gasten la fortuna que piden esos mierdaseca;['ademas', 'estan', 'avisando', 'que', 'van', 'a', 'poner', 'una', 'version', 'similar', 'a', 'la', 'venta', 'en', 'la', 'tienda', 'de', 'cd', 'project', ',', 'que', 'no', 'se', 'gasten', 'la', 'fortuna', 'que', 'piden', 'esos', 'mierdaseca'];['ademas', 'estan', 'avisando', 'van', 'poner', 'version', 'similar', 'venta', 'tienda', 'cd', 'project,', 'no', 'gasten', 'fortuna', 'piden', 'mierdaseca']
69 fernando vii fue un mierdaseca de eso no hay duda, pero pepe botella tampoco era ningun adalid de la justicia su unico interes era convertir a españa en una marioneta fue el rey mas odiado con razon. una cosa no quita la otra.;1.0;0;1;0.022727272727272728;;0;1;1;0.0;1.0227272727272727;69 fernando vii fue un mierdaseca de eso no hay duda, pero pepe botella tampoco era ningun adalid de la justicia su unico interes era convertir a españa en una marioneta fue el rey mas odiado con razon. una cosa no quita la otra.;['69', 'fernando', 'vii', 'fue', 'un', 'mierdaseca', 'de', 'eso', 'no', 'hay', 'duda', ',', 'pero', 'pepe', 'botella', 'tampoco', 'era', 'ningun', 'adalid', 'de', 'la', 'justicia', 'su', 'unico', 'interes', 'era', 'convertir', 'a', 'españa', 'en', 'una', 'marioneta', 'fue', 'el', 'rey', 'mas', 'odiado', 'con', 'razon', '.', 'una', 'cosa', 'no', 'quita', 'la', 'otra', '.'];['69', 'fernando', 'vii', 'mierdaseca', 'no', 'duda,', 'pepe', 'botella', 'tampoco', 'ningun', 'adalid', 'justicia', 'unico', 'interes', 'convertir', 'españa', 'marioneta', 'rey', 'mas', 'odiado', 'razon.', 'cosa', 'no', 'quita', 'otra.']
lloraras tu cuando te llegue la denuncia mierdaseca;1.0;0;1;0.125;;0;1;0;0.0;0.125;lloraras tu cuando te llegue la denuncia mierdaseca;['lloraras', 'tu', 'cuando', 'te', 'llegue', 'la', 'denuncia', 'mierdaseca'];['lloraras', 'llegue', 'denuncia', 'mierdaseca']
lo que me faltaba por ver es al mierdaseca machista de colate haciendo el drama cuando fijisimo que se ha tirado el solo unicamente para que a ella la tiren del programa. vaya chusma. svgala9;1.0;0;0;0.0;;0;1;1;0.0;1.0;lo que me faltaba por ver es al mierdaseca machista de colate haciendo el drama cuando fijisimo que se ha tirado el solo unicamente para que a ella la tiren del programa. vaya chusma. svgala9;['lo', 'que', 'me', 'faltaba', 'por', 'ver', 'es', 'al', 'mierdaseca', 'machista', 'de', 'colate', 'haciendo', 'el', 'drama', 'cuando', 'fijisimo', 'que', 'se', 'ha', 'tirado', 'el', 'solo', 'unicamente', 'para', 'que', 'a', 'ella', 'la', 'tiren', 'del', 'programa', '.', 'vaya', 'chusma', '.', 'svgala9'];['faltaba', 'ver', 'mierdaseca', 'machista', 'colate', 'haciendo', 'drama', 'fijisimo', 'tirado', 'solo', 'unicamente', 'tiren', 'programa.', 'vaya', 'chusma.', 'svgala9']
llegada. para mi es una mala noticia que pesic continue al frente del barca: sabe como parar a este madrid de mierdaseca laso.;1.0;0;0;0.0;;0;1;1;0.0;1.0;llegada. para mi es una mala noticia que pesic continue al frente del barca: sabe como parar a este madrid de mierdaseca laso.;['llegada', '.', 'para', 'mi', 'es', 'una', 'mala', 'noticia', 'que', 'pesic', 'continue', 'al', 'frente', 'del', 'barca', ':', 'sabe', 'como', 'parar', 'a', 'este', 'madrid', 'de', 'mierdaseca', 'laso', '.'];['llegada.', 'mala', 'noticia', 'pesic', 'continue', 'frente', 'barca:', 'sabe', 'parar', 'madrid', 'mierdaseca', 'laso.']
lauucv_ si sara deja de ser una mierdaseca y no se raja mejorr;1.0;0;0;0.0;;0;1;0;0.0;0.0;lauucv_ si sara deja de ser una mierdaseca y no se raja mejorr;['lauucv_', 'si', 'sara', 'deja', 'de', 'ser', 'una', 'mierdaseca', 'y', 'no', 'se', 'raja', 'mejorr'];['lauucv_', 'sara', 'deja', 'ser', 'mierdaseca', 'no', 'raja', 'mejorr']
pais por fin madrid ha dejado de ser perroflauta.;1.0;0;0;0.0;;0;0;0;0.0;0.0;pais por fin madrid ha dejado de ser perroflauta.;['pais', 'por', 'fin', 'madrid', 'ha', 'dejado', 'de', 'ser', 'perroflauta', '.'];['pais', 'fin', 'madrid', 'dejado', 'ser', 'perroflauta.']
iglesias_ iglesios es un vividor igual que tu que si no fuera por la politica estariais en regional charlatan. que bien os va engañando a los perroflauta;1.0;0;0;0.0;;0;1;1;0.0;1.0;iglesias_ iglesios es un vividor igual que tu que si no fuera por la politica estariais en regional charlatan. que bien os va engañando a los perroflauta;['iglesias_', 'iglesios', 'es', 'un', 'vividor', 'igual', 'que', 'tu', 'que', 'si', 'no', 'fuera', 'por', 'la', 'politica', 'estariais', 'en', 'regional', 'charlatan', '.', 'que', 'bien', 'os', 'va', 'engañando', 'a', 'los', 'perroflauta'];['iglesias_', 'iglesios', 'vividor', 'igual', 'no', 'politica', 'estariais', 'regional', 'charlatan.', 'engañando', 'perroflauta']
comprate una vida perroflauta;1.0;0;0;0.0;;0;1;0;0.0;0.0;comprate una vida perroflauta;['comprate', 'una', 'vida', 'perroflauta'];['comprate', 'vida', 'perroflauta']
asco de periodismo y cadena perroflauta, miserables personajes 😠 😡 😠;1.0;0;0;0.0;😠 😡 😠;3;0;1;-0.3323333333333333;1.0;asco de periodismo y cadena perroflauta, miserables personajes 😠 😡 😠;['asco', 'de', 'periodismo', 'y', 'cadena', 'perroflauta', ',', 'miserables', 'personajes', '😠', '😡', '😠'];['asco', 'periodismo', 'cadena', 'perroflauta,', 'miserables', 'personajes', '😠', '😡', '😠']
tambien lo anulas por la pegatina del movil, eso es de perroflauta;1.0;0;0;0.0;;0;1;1;0.0;1.0;tambien lo anulas por la pegatina del movil, eso es de perroflauta;['tambien', 'lo', 'anulas', 'por', 'la', 'pegatina', 'del', 'movil', ',', 'eso', 'es', 'de', 'perroflauta'];['tambien', 'anulas', 'pegatina', 'movil,', 'perroflauta']
el pelo a ese perroflauta de mierda…;1.0;0;0;0.0;;0;1;1;0.0;1.0;el pelo a ese perroflauta de mierda…;['el', 'pelo', 'a', 'ese', 'perroflauta', 'de', 'mierda…'];['pelo', 'perroflauta', 'mierda…']
gracias! soy de esos que lava el cerebro a los chavales. me llaman el perroflauta roba mentes.;1.0;1;0;0.0;;0;1;1;0.0;2.0;gracias! soy de esos que lava el cerebro a los chavales. me llaman el perroflauta roba mentes.;['gracias', '!', 'soy', 'de', 'esos', 'que', 'lava', 'el', 'cerebro', 'a', 'los', 'chavales', '.', 'me', 'llaman', 'el', 'perroflauta', 'roba', 'mentes', '.'];['gracias!', 'lava', 'cerebro', 'chavales.', 'llaman', 'perroflauta', 'roba', 'mentes.']
perroflauta, la definicion de basura eres tu.;1.0;0;0;0.0;;0;0;1;0.0;1.0;perroflauta, la definicion de basura eres tu.;['perroflauta', ',', 'la', 'definicion', 'de', 'basura', 'eres', 'tu', '.'];['perroflauta,', 'definicion', 'basura', 'tu.']
tornado se nota que eres un triste perroflauta catalufo.;1.0;0;0;0.0;;0;1;1;0.0;1.0;tornado se nota que eres un triste perroflauta catalufo.;['tornado', 'se', 'nota', 'que', 'eres', 'un', 'triste', 'perroflauta', 'catalufo', '.'];['tornado', 'nota', 'triste', 'perroflauta', 'catalufo.']
callate, perroflauta;1.0;0;0;0.0;;0;1;0;0.0;0.0;callate, perroflauta;['callate', ',', 'perroflauta'];['callate,', 'perroflauta']
tampoco te merezco empatia, perroflauta? cuando vais a por los magrebies, chavista bolivarianos?;1.0;0;0;0.0;;0;0;1;0.0;1.0;tampoco te merezco empatia, perroflauta? cuando vais a por los magrebies, chavista bolivarianos?;['tampoco', 'te', 'merezco', 'empatia', ',', 'perroflauta', '?', 'cuando', 'vais', 'a', 'por', 'los', 'magrebies', ',', 'chavista', 'bolivarianos', '?'];['tampoco', 'merezco', 'empatia,', 'perroflauta?', 'vais', 'magrebies,', 'chavista', 'bolivarianos?']
una parguela que es famosa xq es influenser;1.0;0;0;0.0;;0;1;1;0.0;1.0;una parguela que es famosa xq es influenser;['una', 'parguela', 'que', 'es', 'famosa', 'xq', 'es', 'influenser'];['parguela', 'famosa', 'xq', 'influenser']
tu que eres un parguela y seguramente un niñato el valencia no hace mucho estaba en una situacion muy parecida al celta, asi que menos faltar al resto de aficionados inutil que es lo que sois asi tenemos mestalla lleno de niñatos fuman porros y medio nazis;1.0;0;0;0.0;;0;2;1;0.0;1.0;tu que eres un parguela y seguramente un niñato el valencia no hace mucho estaba en una situacion muy parecida al celta, asi que menos faltar al resto de aficionados inutil que es lo que sois asi tenemos mestalla lleno de niñatos fuman porros y medio nazis;['tu', 'que', 'eres', 'un', 'parguela', 'y', 'seguramente', 'un', 'niñato', 'el', 'valencia', 'no', 'hace', 'mucho', 'estaba', 'en', 'una', 'situacion', 'muy', 'parecida', 'al', 'celta', ',', 'asi', 'que', 'menos', 'faltar', 'al', 'resto', 'de', 'aficionados', 'inutil', 'que', 'es', 'lo', 'que', 'sois', 'asi', 'tenemos', 'mestalla', 'lleno', 'de', 'niñatos', 'fuman', 'porros', 'y', 'medio', 'nazis'];['parguela', 'seguramente', 'niñato', 'valencia', 'no', 'hace', 'situacion', 'parecida', 'celta,', 'asi', 'menos', 'faltar', 'resto', 'aficionados', 'inutil', 'asi', 'mestalla', 'lleno', 'niñatos', 'fuman', 'porros', 'medio', 'nazis']
parguela vete ya que estabamos contentos pensando que te habias muerto;1.0;0;0;0.0;;0;1;1;0.0;1.0;parguela vete ya que estabamos contentos pensando que te habias muerto;['parguela', 'vete', 'ya', 'que', 'estabamos', 'contentos', 'pensando', 'que', 'te', 'habias', 'muerto'];['parguela', 'vete', 'estabamos', 'contentos', 'pensando', 'habias', 'muerto']
el machete cuando se saca es para usarlo. el que lo saca para enseñar es un parguela;1.0;0;0;0.0;;0;1;1;0.0;1.0;el machete cuando se saca es para usarlo. el que lo saca para enseñar es un parguela;['el', 'machete', 'cuando', 'se', 'saca', 'es', 'para', 'usarlo', '.', 'el', 'que', 'lo', 'saca', 'para', 'enseñar', 'es', 'un', 'parguela'];['machete', 'saca', 'usarlo.', 'saca', 'enseñar', 'parguela']
pero si no has visto la serie parguela;1.0;0;0;0.0;;0;1;0;0.0;0.0;pero si no has visto la serie parguela;['pero', 'si', 'no', 'has', 'visto', 'la', 'serie', 'parguela'];['no', 'visto', 'serie', 'parguela']
catala es que una protesta no puedes paralizar el pais... una protesta tu vas a la calle y dices lo que quieras sin afectar a los derechos de los demas. no puede ser q te tengan secuestrado en la carretera. eso es hacer el parguela jodiendo a la gente sin legimitidad alguna.;1.0;0;2;0.038461538461538464;;0;1;1;0.0;1.0384615384615385;catala es que una protesta no puedes paralizar el pais... una protesta tu vas a la calle y dices lo que quieras sin afectar a los derechos de los demas. no puede ser q te tengan secuestrado en la carretera. eso es hacer el parguela jodiendo a la gente sin legimitidad alguna.;['catala', 'es', 'que', 'una', 'protesta', 'no', 'puedes', 'paralizar', 'el', 'pais', '...', 'una', 'protesta', 'tu', 'vas', 'a', 'la', 'calle', 'y', 'dices', 'lo', 'que', 'quieras', 'sin', 'afectar', 'a', 'los', 'derechos', 'de', 'los', 'demas', '.', 'no', 'puede', 'ser', 'q', 'te', 'tengan', 'secuestrado', 'en', 'la', 'carretera', '.', 'eso', 'es', 'hacer', 'el', 'parguela', 'jodiendo', 'a', 'la', 'gente', 'sin', 'legimitidad', 'alguna', '.'];['catala', 'protesta', 'no', 'puedes', 'paralizar', 'pais...', 'protesta', 'vas', 'calle', 'dices', 'quieras', 'afectar', 'derechos', 'demas.', 'no', 'puede', 'ser', 'q', 'secuestrado', 'carretera.', 'hacer', 'parguela', 'jodiendo', 'gente', 'legimitidad', 'alguna.']
el chaval mas parguela que te puedes echar en cara, % veridico;1.0;0;0;0.0;;0;1;1;0.0;1.0;el chaval mas parguela que te puedes echar en cara, % veridico;['el', 'chaval', 'mas', 'parguela', 'que', 'te', 'puedes', 'echar', 'en', 'cara', ',', '%', 'veridico'];['chaval', 'mas', 'parguela', 'puedes', 'echar', 'cara,', '%', 'veridico']
si tu no estabas parguela.;1.0;0;0;0.0;;0;0;1;0.0;1.0;si tu no estabas parguela.;['si', 'tu', 'no', 'estabas', 'parguela', '.'];['no', 'parguela.']
pero que dice este parguela???;1.0;0;0;0.0;;0;0;1;0.0;1.0;pero que dice este parguela???;['pero', 'que', 'dice', 'este', 'parguela', '?', '?', '?'];['dice', 'parguela???']
ta resentido o subnormal. *5 minutos despues*.;1.0;0;0;0.0;;0;0;1;0.0;1.0;ta resentido o subnormal. *5 minutos despues*.;['ta', 'resentido', 'o', 'subnormal', '.', '*5', 'minutos', 'despues*', '.'];['ta', 'resentido', 'subnormal.', '*5', 'minutos', 'despues*.']
menudo subnormal este tipejo de mierda;1.0;0;0;0.0;;0;0;1;0.0;1.0;menudo subnormal este tipejo de mierda;['menudo', 'subnormal', 'este', 'tipejo', 'de', 'mierda'];['menudo', 'subnormal', 'tipejo', 'mierda']
"el compañero presidente opina otra cosa; subnormal";1.0;0;0;0.0;;0;0;1;0.0;1.0;"el compañero presidente opina otra cosa; subnormal";"['el', 'compañero', 'presidente', 'opina', 'otra', 'cosa', ';', 'subnormal']";"['compañero', 'presidente', 'opina', 'cosa;', 'subnormal']"
tornado subnormal;1.0;0;0;0.0;;0;0;0;0.0;0.0;tornado subnormal;['tornado', 'subnormal'];['tornado', 'subnormal']
hernando rafa, ¿eres subnormal?;1.0;0;0;0.0;;0;0;1;0.0;1.0;hernando rafa, ¿eres subnormal?;['hernando', 'rafa', ',', '¿eres', 'subnormal', '?'];['hernando', 'rafa,', '¿eres', 'subnormal?']
mb98 seguro que y luego unas risas, esas respuestas son de gilipollas, te vas silenciado por subnormal;1.0;0;0;0.0;;0;0;1;0.0;1.0;mb98 seguro que y luego unas risas, esas respuestas son de gilipollas, te vas silenciado por subnormal;['mb98', 'seguro', 'que', 'y', 'luego', 'unas', 'risas', ',', 'esas', 'respuestas', 'son', 'de', 'gilipollas', ',', 'te', 'vas', 'silenciado', 'por', 'subnormal'];['mb98', 'seguro', 'luego', 'unas', 'risas,', 'respuestas', 'gilipollas,', 'vas', 'silenciado', 'subnormal']
es el derecho a ser subnormal, dice?;1.0;0;0;0.0;;0;0;1;0.0;1.0;es el derecho a ser subnormal, dice?;['es', 'el', 'derecho', 'a', 'ser', 'subnormal', ',', 'dice', '?'];['derecho', 'ser', 'subnormal,', 'dice?']
jajajjaja... que haya var y este undiano mallenco, hernandez hernandez, obrebo, stark y aytekin!!! menudo subnormal estas hecho chaval!!!;1.0;6;1;0.05263157894736842;;0;0;1;0.0;7.052631578947368;jajajjaja... que haya var y este undiano mallenco, hernandez hernandez, obrebo, stark y aytekin!!! menudo subnormal estas hecho chaval!!!;['jajajjaja', '...', 'que', 'haya', 'var', 'y', 'este', 'undiano', 'mallenco', ',', 'hernandez', 'hernandez', ',', 'obrebo', ',', 'stark', 'y', 'aytekin', '!', '!', '!', 'menudo', 'subnormal', 'estas', 'hecho', 'chaval', '!', '!', '!'];['jajajjaja...', 'var', 'undiano', 'mallenco,', 'hernandez', 'hernandez,', 'obrebo,', 'stark', 'aytekin!!!', 'menudo', 'subnormal', 'hecho', 'chaval!!!']
beltraa ya te dije ahi arriba que no estaba justificando el abandono jajajajaja te encanta desvirtuar lo que dice el otro a ver si ganas la discusion. posta dedicate a la politica porque podes ganar debates, hay mucho subnormal en podios;1.0;0;0;0.0;;0;0;1;0.0;1.0;beltraa ya te dije ahi arriba que no estaba justificando el abandono jajajajaja te encanta desvirtuar lo que dice el otro a ver si ganas la discusion. posta dedicate a la politica porque podes ganar debates, hay mucho subnormal en podios;['beltraa', 'ya', 'te', 'dije', 'ahi', 'arriba', 'que', 'no', 'estaba', 'justificando', 'el', 'abandono', 'jajajajaja', 'te', 'encanta', 'desvirtuar', 'lo', 'que', 'dice', 'el', 'otro', 'a', 'ver', 'si', 'ganas', 'la', 'discusion', '.', 'posta', 'dedicate', 'a', 'la', 'politica', 'porque', 'podes', 'ganar', 'debates', ',', 'hay', 'mucho', 'subnormal', 'en', 'podios'];['beltraa', 'dije', 'ahi', 'arriba', 'no', 'justificando', 'abandono', 'jajajajaja', 'encanta', 'desvirtuar', 'dice', 'ver', 'ganas', 'discusion.', 'posta', 'dedicate', 'politica', 'podes', 'ganar', 'debates,', 'subnormal', 'podios']
griego82 refiriendome al subnormal del portavoz de voz;1.0;0;0;0.0;;0;0;0;0.0;0.0;griego82 refiriendome al subnormal del portavoz de voz;['griego82', 'refiriendome', 'al', 'subnormal', 'del', 'portavoz', 'de', 'voz'];['griego82', 'refiriendome', 'subnormal', 'portavoz', 'voz']
fran pardo un subnormal y esta muy bien que nadie lo dude;1.0;0;0;0.0;;0;0;1;0.0;1.0;fran pardo un subnormal y esta muy bien que nadie lo dude;['fran', 'pardo', 'un', 'subnormal', 'y', 'esta', 'muy', 'bien', 'que', 'nadie', 'lo', 'dude'];['fran', 'pardo', 'subnormal', 'nadie', 'dude']
posss si hay gente tan subnormal que crees que esa es manera de crecer;1.0;0;0;0.0;;0;0;1;0.0;1.0;posss si hay gente tan subnormal que crees que esa es manera de crecer;['posss', 'si', 'hay', 'gente', 'tan', 'subnormal', 'que', 'crees', 'que', 'esa', 'es', 'manera', 'de', 'crecer'];['posss', 'gente', 'tan', 'subnormal', 'crees', 'manera', 'crecer']
sere subnormal pero no tengo un avatar de anime;1.0;0;0;0.0;;0;0;0;0.0;0.0;sere subnormal pero no tengo un avatar de anime;['sere', 'subnormal', 'pero', 'no', 'tengo', 'un', 'avatar', 'de', 'anime'];['sere', 'subnormal', 'no', 'avatar', 'anime']
